n	module	path	size_bytes	lines
1	Core.Certificate	Core/Certificate.lean	2970	69
2	Core.Residue	Core/Residue.lean	181	13
3	Core.Sheaf	Core/Sheaf.lean	2392	55
4	Core.Tau	Core/Tau.lean	479	19
5	FusionMain	FusionMain.lean	117	4
6	Main	Main.lean	614	18
7	Main2	Main2.lean	2421	72
8	Receipt.Receipt	Receipt/Receipt.lean	76	5
9	Tau.Coho	Tau/Coho.lean	2026	52
10	Tau.DeltaComplex	Tau/DeltaComplex.lean	1298	39
11	Tau.Distance.Fisher	Tau/Distance/Fisher.lean	224	9
12	Tau.Flow.OneLoopRG	Tau/Flow/OneLoopRG.lean	733	28
13	Tau.Flow.Scheduler	Tau/Flow/Scheduler.lean	344	12
14	Tau.LeafGroup	Tau/LeafGroup.lean	657	20
15	Tau.ProveV2	Tau/ProveV2.lean	3925	117
16	TauCrystal	TauCrystal.lean	22	1
17	TauCrystal.Basic	TauCrystal/Basic.lean	33	3
18	TauCrystal.Cli	TauCrystal/Cli.lean	4193	128
19	TauCrystal.Core	TauCrystal/Core.lean	103	6
20	TauCrystal.Derived.Refactor	TauCrystal/Derived/Refactor.lean	805	25
21	TauCrystal.Fermion	TauCrystal/Fermion.lean	1334	26
22	TauCrystal.GeomProofs.shot_A	TauCrystal/GeomProofs/shot_A.lean	725	19
23	TauCrystal.Infinity.ReceiptInf	TauCrystal/Infinity/ReceiptInf.lean	321	8
24	TauCrystal.Init	TauCrystal/Init.lean	68	3
25	TauCrystal.Proofs	TauCrystal/Proofs.lean	349	15
26	TauCrystal.Proofs.LaurentCheck	TauCrystal/Proofs/LaurentCheck.lean	750	14
27	TauCrystal.Proofs.TauMonotonic	TauCrystal/Proofs/TauMonotonic.lean	337	10
28	TauCrystal.ReceiptCategory	TauCrystal/ReceiptCategory.lean	1203	37
29	TauCrystal.Spectral	TauCrystal/Spectral.lean	1096	45
30	TauCrystal.VerifyChain	TauCrystal/VerifyChain.lean	1410	39
31	TauProofs	TauProofs.lean	77	3
32	TauProofs.Cohomology	TauProofs/Cohomology.lean	1583	39
33	TauProofs.DriftBound	TauProofs/DriftBound.lean	949	32
34	TauProofs.Leaf	TauProofs/Leaf.lean	1094	33
35	TauProofs.TauBounds	TauProofs/TauBounds.lean	2343	61
36	_verify.unzip.tau_crystal.Core.Certificate	_verify/unzip/tau_crystal/Core/Certificate.lean	2970	69
37	_verify.unzip.tau_crystal.Core.Residue	_verify/unzip/tau_crystal/Core/Residue.lean	181	13
38	_verify.unzip.tau_crystal.Core.Sheaf	_verify/unzip/tau_crystal/Core/Sheaf.lean	2392	55
39	_verify.unzip.tau_crystal.Core.Tau	_verify/unzip/tau_crystal/Core/Tau.lean	479	19
40	_verify.unzip.tau_crystal.FusionMain	_verify/unzip/tau_crystal/FusionMain.lean	117	4
41	_verify.unzip.tau_crystal.Main	_verify/unzip/tau_crystal/Main.lean	614	18
42	_verify.unzip.tau_crystal.Main2	_verify/unzip/tau_crystal/Main2.lean	2421	72
43	_verify.unzip.tau_crystal.Receipt.Receipt	_verify/unzip/tau_crystal/Receipt/Receipt.lean	76	5
44	_verify.unzip.tau_crystal.TauCrystal	_verify/unzip/tau_crystal/TauCrystal.lean	22	1
45	_verify.unzip.tau_crystal.TauCrystal.Basic	_verify/unzip/tau_crystal/TauCrystal/Basic.lean	33	3
46	_verify.unzip.tau_crystal.TauCrystal.Cli	_verify/unzip/tau_crystal/TauCrystal/Cli.lean	4193	128
47	_verify.unzip.tau_crystal.TauCrystal.Core	_verify/unzip/tau_crystal/TauCrystal/Core.lean	103	6
48	_verify.unzip.tau_crystal.TauCrystal.Derived.Refactor	_verify/unzip/tau_crystal/TauCrystal/Derived/Refactor.lean	805	25
49	_verify.unzip.tau_crystal.TauCrystal.Infinity.ReceiptInf	_verify/unzip/tau_crystal/TauCrystal/Infinity/ReceiptInf.lean	321	8
50	_verify.unzip.tau_crystal.TauCrystal.Init	_verify/unzip/tau_crystal/TauCrystal/Init.lean	68	3
51	_verify.unzip.tau_crystal.TauCrystal.Proofs	_verify/unzip/tau_crystal/TauCrystal/Proofs.lean	349	15
52	_verify.unzip.tau_crystal.TauCrystal.Proofs.LaurentCheck	_verify/unzip/tau_crystal/TauCrystal/Proofs/LaurentCheck.lean	750	14
53	_verify.unzip.tau_crystal.TauCrystal.Proofs.TauMonotonic	_verify/unzip/tau_crystal/TauCrystal/Proofs/TauMonotonic.lean	337	10
54	_verify.unzip.tau_crystal.TauCrystal.ReceiptCategory	_verify/unzip/tau_crystal/TauCrystal/ReceiptCategory.lean	1203	37
55	_verify.unzip.tau_crystal.TauCrystal.Spectral	_verify/unzip/tau_crystal/TauCrystal/Spectral.lean	1096	45
56	_verify.unzip.tau_crystal.TauCrystal.VerifyChain	_verify/unzip/tau_crystal/TauCrystal/VerifyChain.lean	1410	39
57	_verify.unzip.tau_crystal.lakefile	_verify/unzip/tau_crystal/lakefile.lean	120	7
58	_verify.unzip.tau_crystal.tools.Auditor	_verify/unzip/tau_crystal/tools/Auditor.lean	156	12
59	_verify.unzip.tau_crystal.tools.CLI	_verify/unzip/tau_crystal/tools/CLI.lean	455	25
60	_verify.unzip.tau_crystal.tools.CertGen	_verify/unzip/tau_crystal/tools/CertGen.lean	539	22
61	_verify.unzip.tau_crystal.tools.GPU	_verify/unzip/tau_crystal/tools/GPU.lean	444	24
62	_verify.unzip.tau_crystal.tools.Json	_verify/unzip/tau_crystal/tools/Json.lean	692	24
63	_verify.unzip.tau_crystal.tools.Manifest	_verify/unzip/tau_crystal/tools/Manifest.lean	1695	54
64	_verify.unzip.tau_crystal.tools.QCRO	_verify/unzip/tau_crystal/tools/QCRO.lean	409	18
65	_verify.unzip.tau_crystal.tools.Seal	_verify/unzip/tau_crystal/tools/Seal.lean	330	12
66	_verify.unzip.tau_crystal.tools.TauEmit	_verify/unzip/tau_crystal/tools/TauEmit.lean	270	14
67	lakefile	lakefile.lean	142	11
68	spectral_kernel.Src.Spectral.Core	spectral_kernel/Src/Spectral/Core.lean	1987	64
69	spectral_kernel.Src.Spectral.face_plumbing	spectral_kernel/Src/Spectral/face_plumbing.lean	204	7
70	spectral_kernel.Src.Spectral.plumbing	spectral_kernel/Src/Spectral/plumbing.lean	306	8
71	spectral_kernel.lakefile	spectral_kernel/lakefile.lean	292	15
72	src.Spectral.Core	src/Spectral/Core.lean	1869	57
73	src.Spectral.Kernel.Minimal	src/Spectral/Kernel/Minimal.lean	1477	49
74	src.Spectral.face_plumbing	src/Spectral/face_plumbing.lean	248	9
75	src.Spectral.plumbing	src/Spectral/plumbing.lean	372	11
76	tools.Auditor	tools/Auditor.lean	156	12
77	tools.CLI	tools/CLI.lean	455	25
78	tools.CertGen	tools/CertGen.lean	539	22
79	tools.GPU	tools/GPU.lean	444	24
80	tools.Json	tools/Json.lean	692	24
81	tools.Manifest	tools/Manifest.lean	1695	54
82	tools.QCRO	tools/QCRO.lean	409	18
83	tools.Seal	tools/Seal.lean	330	12
84	tools.TauEmit	tools/TauEmit.lean	270	14
