n	s	t	Delta	a	b
3	0.70	0.00		0.141082171678	0.555434782609
3	0.70	0.01		0.141082171678	0.565434782609
3	0.70	0.02		0.141082171678	0.575434782609
3	0.70	0.03		0.141082171678	0.585434782609
3	0.70	0.04		0.141082171678	0.595434782609
3	0.75	0.00		0.141082171678	0.595108695652
3	0.75	0.01		0.141082171678	0.605108695652
3	0.75	0.02		0.141082171678	0.615108695652
3	0.75	0.03		0.141082171678	0.625108695652
3	0.75	0.04		0.141082171678	0.635108695652
3	0.80	0.00		0.141082171678	0.634782608696
3	0.80	0.01		0.141082171678	0.644782608696
3	0.80	0.02		0.141082171678	0.654782608696
3	0.80	0.03		0.141082171678	0.664782608696
3	0.80	0.04		0.141082171678	0.674782608696
3	0.85	0.00		0.141082171678	0.674456521739
3	0.85	0.01		0.141082171678	0.684456521739
3	0.85	0.02		0.141082171678	0.694456521739
3	0.85	0.03		0.141082171678	0.704456521739
3	0.85	0.04		0.141082171678	0.714456521739
3	0.90	0.00		0.141082171678	0.714130434783
3	0.90	0.01		0.141082171678	0.724130434783
3	0.90	0.02		0.141082171678	0.734130434783
3	0.90	0.03		0.141082171678	0.744130434783
3	0.90	0.04		0.141082171678	0.754130434783
3	0.95	0.00		0.141082171678	0.753804347826
3	0.95	0.01		0.141082171678	0.763804347826
3	0.95	0.02		0.141082171678	0.773804347826
3	0.95	0.03		0.141082171678	0.783804347826
3	0.95	0.04		0.141082171678	0.793804347826
3	1.00	0.00		0.141082171678	0.793478260870
3	1.00	0.01		0.141082171678	0.802049689441
3	1.00	0.02		0.141082171678	0.810621118012
3	1.00	0.03		0.141082171678	0.819192546584
3	1.00	0.04		0.141082171678	0.827763975155
4	0.70	0.00		0.147988044401	0.555434782609
4	0.70	0.01		0.147988044401	0.565434782609
4	0.70	0.02		0.147988044401	0.575434782609
4	0.70	0.03		0.147988044401	0.585434782609
4	0.70	0.04		0.147988044401	0.595434782609
4	0.75	0.00		0.147988044401	0.595108695652
4	0.75	0.01		0.147988044401	0.605108695652
4	0.75	0.02		0.147988044401	0.615108695652
4	0.75	0.03		0.147988044401	0.625108695652
4	0.75	0.04		0.147988044401	0.635108695652
4	0.80	0.00		0.147988044401	0.634782608696
4	0.80	0.01		0.147988044401	0.644782608696
4	0.80	0.02		0.147988044401	0.654782608696
4	0.80	0.03		0.147988044401	0.664782608696
4	0.80	0.04		0.147988044401	0.674782608696
4	0.85	0.00		0.147988044401	0.674456521739
